Nodo: 309277975, Data: {'y': 4.0605508, 'x': -73.4289254, 'street_count': 3}
Nodo: 820876946, Data: {'y': 4.1155842, 'x': -73.6063531, 'street_count': 3}
Nodo: 820877052, Data: {'y': 4.1679044, 'x': -73.6225903, 'street_count': 3}
Nodo: 820877071, Data: {'y': 4.1156316, 'x': -73.6077327, 'street_count': 3}
Nodo: 820877150, Data: {'y': 4.1165893, 'x': -73.617002, 'street_count': 1}
Nodo: 820877241, Data: {'y': 4.1170943, 'x': -73.617682, 'street_count': 3}
Nodo: 820877301, Data: {'y': 4.1151435, 'x': -73.6104158, 'street_count': 3}
Nodo: 820877339, Data: {'y': 4.1171066, 'x': -73.6056304, 'street_count': 1}
Nodo: 820877441, Data: {'y': 4.1673372, 'x': -73.6232456, 'street_count': 3}
Nodo: 820877448, Data: {'y': 4.1155163, 'x': -73.618699, 'street_count': 1}
Nodo: 820877534, Data: {'y': 4.1175183, 'x': -73.616641, 'street_count': 3}
Nodo: 820877546, Data: {'y': 4.1166909, 'x': -73.6068823, 'street_count': 3}
Nodo: 820877632, Data: {'y': 4.1175289, 'x': -73.6062096, 'street_count': 1}
Nodo: 820877702, Data: {'y': 4.1665441, 'x': -73.6231031, 'street_count': 3}
Nodo: 820877753, Data: {'y': 4.1161298, 'x': -73.6083253, 'street_count': 1}
Nodo: 820877839, Data: {'y': 4.116437, 'x': -73.6047072, 'street_count': 3}
Nodo: 820878013, Data: {'y': 4.1155615, 'x': -73.6073322, 'street_count': 3}
Nodo: 820878037, Data: {'y': 4.1153312, 'x': -73.6203067, 'street_count': 3}
Nodo: 820878122, Data: {'y': 4.1160033, 'x': -73.617445, 'street_count': 1}
Nodo: 820878136, Data: {'y': 4.1153334, 'x': -73.6079721, 'street_count': 3}
Nodo: 820878183, Data: {'y': 4.1147143, 'x': -73.6239144, 'street_count': 3}
Nodo: 820878242, Data: {'y': 4.1150058, 'x': -73.606773, 'street_count': 3}
Nodo: 820878292, Data: {'y': 4.1667057, 'x': -73.6675099, 'street_count': 3}
Nodo: 820878352, Data: {'y': 4.1157163, 'x': -73.6253122, 'street_count': 4}
Nodo: 820878437, Data: {'y': 4.1145662, 'x': -73.6202912, 'street_count': 3}
Nodo: 820878449, Data: {'y': 4.1159074, 'x': -73.6075113, 'street_count': 3}
Nodo: 820878487, Data: {'y': 4.1161664, 'x': -73.6043748, 'street_count': 3}
Nodo: 820878523, Data: {'y': 4.1158496, 'x': -73.6188462, 'street_count': 1}
Nodo: 820878535, Data: {'y': 4.1163222, 'x': -73.6080186, 'street_count': 1}
Nodo: 820878688, Data: {'y': 4.1167823, 'x': -73.618462, 'street_count': 4}
Nodo: 820878711, Data: {'y': 4.1173173, 'x': -73.6059248, 'street_count': 1}
Nodo: 820878735, Data: {'y': 4.1148508, 'x': -73.6219478, 'street_count': 4}
Nodo: 820878784, Data: {'y': 4.1147579, 'x': -73.6260933, 'street_count': 3}
Nodo: 820878833, Data: {'y': 4.1160169, 'x': -73.6060107, 'street_count': 3}
Nodo: 820878918, Data: {'y': 4.1160705, 'x': -73.6154345, 'street_count': 4}
Nodo: 820946211, Data: {'y': 4.0913954, 'x': -73.6666188, 'street_count': 3}
Nodo: 820946212, Data: {'y': 4.0931392, 'x': -73.6643857, 'street_count': 3}
Nodo: 821091019, Data: {'y': 4.1540401, 'x': -73.6606438, 'street_count': 3}
Nodo: 821100169, Data: {'y': 4.1527805, 'x': -73.6588606, 'street_count': 3}
Nodo: 821110461, Data: {'y': 4.1520486, 'x': -73.6577128, 'street_count': 4}
Nodo: 821151336, Data: {'y': 4.1497117, 'x': -73.610744, 'street_count': 3}
Nodo: 821153135, Data: {'y': 4.1356183, 'x': -73.6157742, 'street_count': 4}
Nodo: 821169359, Data: {'y': 4.13553, 'x': -73.6157752, 'street_count': 4}
Nodo: 821176389, Data: {'y': 4.150042, 'x': -73.6107105, 'street_count': 3}
Nodo: 828820344, Data: {'y': 4.1056454, 'x': -73.6320222, 'street_count': 3}
Nodo: 828820351, Data: {'y': 4.1130736, 'x': -73.629835, 'street_count': 3}
Nodo: 828820388, Data: {'y': 4.1124136, 'x': -73.6314244, 'street_count': 3}
Nodo: 828820421, Data: {'y': 4.1132937, 'x': -73.6316036, 'street_count': 3}
Nodo: 828820482, Data: {'y': 4.1117981, 'x': -73.6312723, 'street_count': 3}
Nodo: 828820514, Data: {'y': 4.1111521, 'x': -73.631104, 'street_count': 4}
Nodo: 828820538, Data: {'y': 4.1109748, 'x': -73.6321555, 'street_count': 4}
Nodo: 828820628, Data: {'y': 4.1130796, 'x': -73.6325759, 'street_count': 3}
Nodo: 828820634, Data: {'y': 4.1110371, 'x': -73.6332891, 'street_count': 4}
Nodo: 829027181, Data: {'y': 4.112564, 'x': -73.6172015, 'street_count': 3}
Nodo: 829027246, Data: {'y': 4.1122225, 'x': -73.6171221, 'street_count': 3}
Nodo: 829027266, Data: {'y': 4.1135085, 'x': -73.6132978, 'street_count': 3}
Nodo: 829027270, Data: {'y': 4.11482, 'x': -73.6102306, 'street_count': 1}
Nodo: 829027283, Data: {'y': 4.1143757, 'x': -73.6251098, 'street_count': 1}
Nodo: 829027337, Data: {'y': 4.114551, 'x': -73.6279383, 'street_count': 3}
Nodo: 829027351, Data: {'y': 4.1094412, 'x': -73.6022535, 'street_count': 3}
Nodo: 829027362, Data: {'y': 4.1131318, 'x': -73.6128108, 'street_count': 1}
Nodo: 829027369, Data: {'y': 4.112564, 'x': -73.6166601, 'street_count': 4}
Nodo: 829027400, Data: {'y': 4.1128504, 'x': -73.6166577, 'street_count': 4}
Nodo: 829027432, Data: {'y': 4.1144683, 'x': -73.6115679, 'street_count': 4}
Nodo: 829027442, Data: {'y': 4.1122424, 'x': -73.6166815, 'street_count': 4}
Nodo: 829027496, Data: {'y': 4.113126, 'x': -73.6166627, 'street_count': 3}
Nodo: 829027542, Data: {'y': 4.1141626, 'x': -73.6113825, 'street_count': 1}
Nodo: 829027554, Data: {'y': 4.1145232, 'x': -73.6218495, 'street_count': 4}
Nodo: 829027572, Data: {'y': 4.1131121, 'x': -73.6148272, 'street_count': 3}
Nodo: 829027635, Data: {'y': 4.1136264, 'x': -73.6130711, 'street_count': 3}
Nodo: 830233897, Data: {'y': 4.1056884, 'x': -73.6248538, 'street_count': 3}
Nodo: 830233924, Data: {'y': 4.0993975, 'x': -73.6136727, 'street_count': 1}
Nodo: 830234012, Data: {'y': 4.0980486, 'x': -73.6177492, 'street_count': 1}
Nodo: 830234016, Data: {'y': 4.1050911, 'x': -73.6173651, 'street_count': 3}
Nodo: 830234024, Data: {'y': 4.0977841, 'x': -73.6299963, 'street_count': 3}
Nodo: 830234050, Data: {'y': 4.0969671, 'x': -73.6211978, 'street_count': 3}
Nodo: 830234067, Data: {'y': 4.0987447, 'x': -73.6162258, 'street_count': 1}
Nodo: 830234123, Data: {'y': 4.0960518, 'x': -73.616745, 'street_count': 3}
Nodo: 830234128, Data: {'y': 4.1070983, 'x': -73.5716314, 'street_count': 3}
Nodo: 830234162, Data: {'y': 4.0951782, 'x': -73.6192956, 'street_count': 3}
Nodo: 830234164, Data: {'y': 4.100493, 'x': -73.6151891, 'street_count': 3}
Nodo: 830234207, Data: {'y': 4.0953228, 'x': -73.6137605, 'street_count': 1}
Nodo: 830234250, Data: {'y': 4.0984949, 'x': -73.6113956, 'street_count': 3}
Nodo: 830234375, Data: {'y': 4.0969913, 'x': -73.6163255, 'street_count': 3}
Nodo: 830234380, Data: {'y': 4.0994426, 'x': -73.6304961, 'street_count': 3}
Nodo: 830234405, Data: {'y': 4.0941975, 'x': -73.6170158, 'street_count': 3}
Nodo: 830234413, Data: {'y': 4.0935447, 'x': -73.6006166, 'street_count': 1}
Nodo: 830234431, Data: {'y': 4.0922218, 'x': -73.6154296, 'street_count': 1}
Nodo: 830234439, Data: {'y': 4.1067618, 'x': -73.5692867, 'street_count': 1}
Nodo: 830234446, Data: {'y': 4.1086915, 'x': -73.5686013, 'street_count': 1}
Nodo: 830234463, Data: {'y': 4.0989192, 'x': -73.620091, 'street_count': 1}
Nodo: 830234505, Data: {'y': 4.0947359, 'x': -73.6154436, 'street_count': 3}
Nodo: 830234541, Data: {'y': 4.1054378, 'x': -73.6242405, 'street_count': 1}
Nodo: 830234559, Data: {'y': 4.1002477, 'x': -73.6131405, 'street_count': 1}
Nodo: 830234584, Data: {'y': 4.0977324, 'x': -73.6129076, 'street_count': 3}
Nodo: 830234602, Data: {'y': 4.1088013, 'x': -73.6251839, 'street_count': 1}
Nodo: 830234623, Data: {'y': 4.0969901, 'x': -73.616415, 'street_count': 3}
Nodo: 830234631, Data: {'y': 4.0977553, 'x': -73.627029, 'street_count': 3}
Nodo: 830234657, Data: {'y': 4.0987694, 'x': -73.6189593, 'street_count': 1}
Nodo: 830234686, Data: {'y': 4.0969944, 'x': -73.6144863, 'street_count': 4}
Nodo: 830234694, Data: {'y': 4.100175, 'x': -73.6290595, 'street_count': 4}
Nodo: 830234703, Data: {'y': 4.0933593, 'x': -73.6194031, 'street_count': 1}
Nodo: 830234721, Data: {'y': 4.0986351, 'x': -73.6209604, 'street_count': 1}
Nodo: 830234736, Data: {'y': 4.0913282, 'x': -73.6177133, 'street_count': 3}
Nodo: 830234752, Data: {'y': 4.1055537, 'x': -73.5726448, 'street_count': 3}
Nodo: 830234758, Data: {'y': 4.1030874, 'x': -73.6228476, 'street_count': 3}
Nodo: 830234767, Data: {'y': 4.1115766, 'x': -73.6037557, 'street_count': 3}
Nodo: 830234803, Data: {'y': 4.0949999, 'x': -73.6172732, 'street_count': 3}
Nodo: 830234879, Data: {'y': 4.1022999, 'x': -73.5928536, 'street_count': 3}
Nodo: 830234885, Data: {'y': 4.0990244, 'x': -73.6154428, 'street_count': 1}
Nodo: 830234907, Data: {'y': 4.1090284, 'x': -73.5955233, 'street_count': 3}
Nodo: 830234933, Data: {'y': 4.0969953, 'x': -73.6172401, 'street_count': 3}
Nodo: 830234944, Data: {'y': 4.0934048, 'x': -73.616764, 'street_count': 3}
Nodo: 830234968, Data: {'y': 4.0969771, 'x': -73.6154073, 'street_count': 3}
Nodo: 830234979, Data: {'y': 4.0999303, 'x': -73.6306259, 'street_count': 3}
Nodo: 830234985, Data: {'y': 4.098338, 'x': -73.6169624, 'street_count': 1}
Nodo: 830235008, Data: {'y': 4.0928715, 'x': -73.6182335, 'street_count': 3}
Nodo: 830235012, Data: {'y': 4.1092467, 'x': -73.571396, 'street_count': 3}
Nodo: 830235028, Data: {'y': 4.0954631, 'x': -73.6184246, 'street_count': 3}
Nodo: 830235031, Data: {'y': 4.100582, 'x': -73.6143321, 'street_count': 1}
Nodo: 830235049, Data: {'y': 4.0941082, 'x': -73.6197503, 'street_count': 1}
Nodo: 830235080, Data: {'y': 4.0960838, 'x': -73.6141128, 'street_count': 1}
Nodo: 830235094, Data: {'y': 4.1088934, 'x': -73.5943912, 'street_count': 3}
Nodo: 830235101, Data: {'y': 4.1006506, 'x': -73.6123699, 'street_count': 1}
Nodo: 830235120, Data: {'y': 4.098089, 'x': -73.6121385, 'street_count': 3}
Nodo: 830235144, Data: {'y': 4.0973725, 'x': -73.6137007, 'street_count': 3}
Nodo: 830235156, Data: {'y': 4.1042432, 'x': -73.6248742, 'street_count': 1}
Nodo: 830235224, Data: {'y': 4.0959808, 'x': -73.6169557, 'street_count': 3}
Nodo: 830235279, Data: {'y': 4.1002593, 'x': -73.6307121, 'street_count': 3}
Nodo: 830235309, Data: {'y': 4.1034048, 'x': -73.6221987, 'street_count': 3}
Nodo: 830235353, Data: {'y': 4.0963382, 'x': -73.6159805, 'street_count': 3}
Nodo: 830235376, Data: {'y': 4.0955231, 'x': -73.6156977, 'street_count': 3}
Nodo: 830305122, Data: {'y': 4.0927959, 'x': -73.5810338, 'street_count': 3}
Nodo: 830305171, Data: {'y': 4.0902352, 'x': -73.5778155, 'street_count': 3}
Nodo: 830305195, Data: {'y': 4.0900117, 'x': -73.5790062, 'street_count': 3}
Nodo: 830305258, Data: {'y': 4.0901663, 'x': -73.5778862, 'street_count': 3}
Nodo: 830305309, Data: {'y': 4.0966988, 'x': -73.5875123, 'street_count': 3}
Nodo: 830305315, Data: {'y': 4.088574, 'x': -73.5794038, 'street_count': 1}
Nodo: 830361740, Data: {'y': 4.089373, 'x': -73.5542257, 'street_count': 3}
Nodo: 830361771, Data: {'y': 4.0847323, 'x': -73.5535988, 'street_count': 4}
Nodo: 830361777, Data: {'y': 4.0843604, 'x': -73.5453661, 'street_count': 3}
Nodo: 830361792, Data: {'y': 4.0821699, 'x': -73.5476863, 'street_count': 3}
Nodo: 830361800, Data: {'y': 4.0880024, 'x': -73.5805124, 'street_count': 1}
Nodo: 830361808, Data: {'y': 4.0856559, 'x': -73.5601955, 'street_count': 3}
Nodo: 830361824, Data: {'y': 4.0893864, 'x': -73.5662207, 'street_count': 3}
Nodo: 830361831, Data: {'y': 4.0855817, 'x': -73.5596453, 'street_count': 3}
Nodo: 830361848, Data: {'y': 4.0865042, 'x': -73.5662261, 'street_count': 3}
Nodo: 830361912, Data: {'y': 4.0853374, 'x': -73.5599579, 'street_count': 1}
Nodo: 830361921, Data: {'y': 4.0891507, 'x': -73.5593046, 'street_count': 3}
Nodo: 830361971, Data: {'y': 4.0866035, 'x': -73.5669276, 'street_count': 3}
Nodo: 830361998, Data: {'y': 4.0835586, 'x': -73.5497073, 'street_count': 3}
Nodo: 830362032, Data: {'y': 4.0916515, 'x': -73.5540432, 'street_count': 3}
Nodo: 830362037, Data: {'y': 4.090306, 'x': -73.5592097, 'street_count': 3}
Nodo: 830362062, Data: {'y': 4.0846365, 'x': -73.5465909, 'street_count': 3}
Nodo: 834478316, Data: {'y': 4.0798694, 'x': -73.5450247, 'street_count': 3}
Nodo: 834478323, Data: {'y': 4.0805495, 'x': -73.5345275, 'street_count': 3}
Nodo: 834478359, Data: {'y': 4.0799545, 'x': -73.5390331, 'street_count': 3}
Nodo: 834478410, Data: {'y': 4.0803786, 'x': -73.5354267, 'street_count': 3}
Nodo: 834478444, Data: {'y': 4.0685973, 'x': -73.531992, 'street_count': 3}
Nodo: 834478467, Data: {'y': 4.0764825, 'x': -73.520753, 'street_count': 1}
Nodo: 834533589, Data: {'y': 4.0601989, 'x': -73.5047148, 'street_count': 3}
Nodo: 834533614, Data: {'y': 4.0636267, 'x': -73.5052752, 'street_count': 3}
Nodo: 834533620, Data: {'y': 4.0608734, 'x': -73.5036099, 'street_count': 3}
Nodo: 834533679, Data: {'y': 4.05872, 'x': -73.5031224, 'street_count': 1}
Nodo: 834533752, Data: {'y': 4.059515, 'x': -73.5024154, 'street_count': 1}
Nodo: 834533782, Data: {'y': 4.0611265, 'x': -73.5138782, 'street_count': 3}
Nodo: 834533940, Data: {'y': 4.0655635, 'x': -73.5054903, 'street_count': 3}
Nodo: 834533957, Data: {'y': 4.0581819, 'x': -73.5146062, 'street_count': 1}
Nodo: 834533970, Data: {'y': 4.0598332, 'x': -73.5033961, 'street_count': 3}
Nodo: 834533997, Data: {'y': 4.0670184, 'x': -73.5024366, 'street_count': 3}
Nodo: 834534033, Data: {'y': 4.0623116, 'x': -73.5000941, 'street_count': 1}
Nodo: 834534066, Data: {'y': 4.0648852, 'x': -73.5270001, 'street_count': 3}
Nodo: 834534073, Data: {'y': 4.0611035, 'x': -73.5030748, 'street_count': 3}
Nodo: 834534150, Data: {'y': 4.0603383, 'x': -73.5017937, 'street_count': 1}
Nodo: 834534229, Data: {'y': 4.0614848, 'x': -73.5022393, 'street_count': 3}
Nodo: 834534311, Data: {'y': 4.0598899, 'x': -73.5038711, 'street_count': 3}
Nodo: 834534317, Data: {'y': 4.0667547, 'x': -73.5299294, 'street_count': 3}
Nodo: 834534442, Data: {'y': 4.0602728, 'x': -73.5050342, 'street_count': 3}
Nodo: 834534544, Data: {'y': 4.0611207, 'x': -73.5009853, 'street_count': 1}
Nodo: 834534616, Data: {'y': 4.058466, 'x': -73.5042601, 'street_count': 3}
Nodo: 834534628, Data: {'y': 4.0596872, 'x': -73.5085868, 'street_count': 3}
Nodo: 834629274, Data: {'y': 4.0488853, 'x': -73.4787474, 'street_count': 3}
Nodo: 834629333, Data: {'y': 4.0002239, 'x': -73.4986996, 'street_count': 1}
Nodo: 834629345, Data: {'y': 4.0581906, 'x': -73.4684536, 'street_count': 3}
Nodo: 834629366, Data: {'y': 4.058576, 'x': -73.4663436, 'street_count': 3}
Nodo: 834629369, Data: {'y': 4.0581049, 'x': -73.4673167, 'street_count': 3}
Nodo: 834629371, Data: {'y': 4.0579316, 'x': -73.4674601, 'street_count': 3}
Nodo: 834629402, Data: {'y': 4.0581279, 'x': -73.4675807, 'street_count': 3}
Nodo: 834629423, Data: {'y': 4.0561766, 'x': -73.4786108, 'street_count': 4}
Nodo: 834629431, Data: {'y': 4.0564944, 'x': -73.4676181, 'street_count': 3}
Nodo: 834722436, Data: {'y': 4.1759223, 'x': -73.6220595, 'street_count': 3}
Nodo: 834722445, Data: {'y': 4.1698323, 'x': -73.6275646, 'street_count': 3}
Nodo: 834722452, Data: {'y': 4.1701338, 'x': -73.627955, 'street_count': 4}
Nodo: 834722477, Data: {'y': 4.1729253, 'x': -73.6189946, 'street_count': 3}
Nodo: 834722478, Data: {'y': 4.1836589, 'x': -73.6138567, 'street_count': 3}
Nodo: 834722481, Data: {'y': 4.1694939, 'x': -73.6322841, 'street_count': 3}
Nodo: 834722505, Data: {'y': 4.1723211, 'x': -73.6311204, 'street_count': 3}
Nodo: 834722513, Data: {'y': 4.1838144, 'x': -73.6081069, 'street_count': 3}
Nodo: 834722523, Data: {'y': 4.1792633, 'x': -73.6127593, 'street_count': 3}
Nodo: 834722529, Data: {'y': 4.1785657, 'x': -73.6134265, 'street_count': 3}
Nodo: 834722532, Data: {'y': 4.1783976, 'x': -73.613865, 'street_count': 3}
Nodo: 834722538, Data: {'y': 4.1783557, 'x': -73.613657, 'street_count': 3}
Nodo: 834722539, Data: {'y': 4.1680909, 'x': -73.6345252, 'street_count': 1}
Nodo: 834722542, Data: {'y': 4.1783535, 'x': -73.6150187, 'street_count': 3}
Nodo: 834722546, Data: {'y': 4.1715837, 'x': -73.6300309, 'street_count': 3}
Nodo: 834722551, Data: {'y': 4.182586, 'x': -73.6144556, 'street_count': 1}
Nodo: 834722567, Data: {'y': 4.1707084, 'x': -73.6206523, 'street_count': 3}
Nodo: 834722577, Data: {'y': 4.1783529, 'x': -73.6148292, 'street_count': 3}
Nodo: 834722592, Data: {'y': 4.1699611, 'x': -73.6331257, 'street_count': 3}
Nodo: 834722594, Data: {'y': 4.1841859, 'x': -73.6165684, 'street_count': 1}
Nodo: 834722597, Data: {'y': 4.1797403, 'x': -73.6160679, 'street_count': 3}
Nodo: 834722600, Data: {'y': 4.1703359, 'x': -73.6318447, 'street_count': 3}
Nodo: 834722604, Data: {'y': 4.1757659, 'x': -73.6258495, 'street_count': 3}
Nodo: 834722607, Data: {'y': 4.1800717, 'x': -73.6119778, 'street_count': 3}
Nodo: 834722618, Data: {'y': 4.1689139, 'x': -73.6327019, 'street_count': 3}
Nodo: 834722652, Data: {'y': 4.1809465, 'x': -73.616391, 'street_count': 1}
Nodo: 834722657, Data: {'y': 4.1742188, 'x': -73.6235938, 'street_count': 1}
Nodo: 834722668, Data: {'y': 4.1747994, 'x': -73.6248332, 'street_count': 4}
Nodo: 834722673, Data: {'y': 4.1765646, 'x': -73.6242288, 'street_count': 3}
Nodo: 834722675, Data: {'y': 4.1778391, 'x': -73.6141681, 'street_count': 3}
Nodo: 834722700, Data: {'y': 4.1807782, 'x': -73.611279, 'street_count': 3}
Nodo: 834722723, Data: {'y': 4.176899, 'x': -73.6235288, 'street_count': 3}
Nodo: 834722749, Data: {'y': 4.174997, 'x': -73.6278833, 'street_count': 3}
Nodo: 834722760, Data: {'y': 4.1693423, 'x': -73.6215708, 'street_count': 3}
Nodo: 834722804, Data: {'y': 4.1717774, 'x': -73.619886, 'street_count': 3}
Nodo: 834722810, Data: {'y': 4.1771495, 'x': -73.6226603, 'street_count': 1}
Nodo: 834722855, Data: {'y': 4.1846032, 'x': -73.6143824, 'street_count': 1}
Nodo: 834722864, Data: {'y': 4.176586, 'x': -73.6370847, 'street_count': 3}
Nodo: 834722867, Data: {'y': 4.1699088, 'x': -73.6308493, 'street_count': 3}
Nodo: 834722868, Data: {'y': 4.1758881, 'x': -73.6251728, 'street_count': 1}
Nodo: 834722880, Data: {'y': 4.1716505, 'x': -73.6323881, 'street_count': 3}
Nodo: 834722951, Data: {'y': 4.184741, 'x': -73.6088115, 'street_count': 3}
Nodo: 834722954, Data: {'y': 4.1781499, 'x': -73.6211179, 'street_count': 3}
Nodo: 834722982, Data: {'y': 4.1719942, 'x': -73.635824, 'street_count': 3}
Nodo: 834723025, Data: {'y': 4.1847358, 'x': -73.6130339, 'street_count': 1}
Nodo: 865356804, Data: {'y': 4.0969795, 'x': -73.6201881, 'street_count': 4}
Nodo: 865356807, Data: {'y': 4.0970028, 'x': -73.6181778, 'street_count': 4}
Nodo: 865356810, Data: {'y': 4.0957816, 'x': -73.6175493, 'street_count': 4}
Nodo: 865356812, Data: {'y': 4.0969861, 'x': -73.6191686, 'street_count': 4}
Nodo: 865369546, Data: {'y': 4.0607408, 'x': -73.5031523, 'street_count': 4}
Nodo: 865369548, Data: {'y': 4.1032461, 'x': -73.6225288, 'street_count': 4}
Nodo: 865369549, Data: {'y': 4.0590269, 'x': -73.5041061, 'street_count': 4}
Nodo: 979285442, Data: {'y': 4.032731, 'x': -73.4779622, 'street_count': 3}
Nodo: 979285576, Data: {'y': 4.0189247, 'x': -73.4751051, 'street_count': 3}
Nodo: 979285672, Data: {'y': 4.0088242, 'x': -73.4695228, 'street_count': 3}
Nodo: 1006140287, Data: {'y': 4.1188286, 'x': -73.4978306, 'street_count': 3}
Nodo: 1103405235, Data: {'y': 4.1165921, 'x': -73.6224706, 'street_count': 4}
Nodo: 1135712185, Data: {'y': 4.153374, 'x': -73.6162868, 'street_count': 4}
Nodo: 1135712196, Data: {'y': 4.1317583, 'x': -73.589277, 'street_count': 3}
Nodo: 1135712197, Data: {'y': 4.138467, 'x': -73.6152214, 'street_count': 4}
Nodo: 1135712200, Data: {'y': 4.1176025, 'x': -73.6227556, 'street_count': 4}
Nodo: 1135712203, Data: {'y': 4.1080956, 'x': -73.6508602, 'street_count': 4}
Nodo: 1135712205, Data: {'y': 4.1474014, 'x': -73.6281953, 'street_count': 4}
Nodo: 1135712214, Data: {'y': 4.1375111, 'x': -73.6231095, 'street_count': 1}
Nodo: 1135712220, Data: {'y': 4.135618, 'x': -73.5875201, 'street_count': 1}
Nodo: 1135712222, Data: {'y': 4.14073, 'x': -73.6162378, 'street_count': 3}
Nodo: 1135712230, Data: {'y': 4.1313353, 'x': -73.6316216, 'street_count': 4}
Nodo: 1135712250, Data: {'y': 4.1348106, 'x': -73.6130221, 'street_count': 3}
Nodo: 1135712257, Data: {'y': 4.1389985, 'x': -73.6301618, 'street_count': 3}
Nodo: 1135712270, Data: {'y': 4.1282168, 'x': -73.6332893, 'street_count': 4}
Nodo: 1135712276, Data: {'y': 4.1426898, 'x': -73.6207073, 'street_count': 3}
Nodo: 1135712278, Data: {'y': 4.124562, 'x': -73.613164, 'street_count': 1}
Nodo: 1135712281, Data: {'y': 4.13179, 'x': -73.61683, 'street_count': 3}
Nodo: 1135712287, Data: {'y': 4.1572931, 'x': -73.6382104, 'street_count': 3}
Nodo: 1135712289, Data: {'y': 4.1236269, 'x': -73.6335602, 'highway': 'traffic_signals', 'street_count': 4}
Nodo: 1135712291, Data: {'y': 4.0997044, 'x': -73.6518187, 'street_count': 3}
Nodo: 1135712292, Data: {'y': 4.1330977, 'x': -73.6318304, 'street_count': 3}
Nodo: 1135712302, Data: {'y': 4.1301632, 'x': -73.5882108, 'street_count': 3}
Nodo: 1135712305, Data: {'y': 4.1408955, 'x': -73.6086633, 'street_count': 3}
Nodo: 1135712311, Data: {'y': 4.1265698, 'x': -73.6171028, 'street_count': 3}
Nodo: 1135712313, Data: {'y': 4.1180429, 'x': -73.5969984, 'street_count': 3}
Nodo: 1135712314, Data: {'y': 4.1389451, 'x': -73.6255973, 'street_count': 3}
Nodo: 1135712315, Data: {'y': 4.1432245, 'x': -73.6308419, 'street_count': 4}
Nodo: 1135712323, Data: {'y': 4.1193514, 'x': -73.6276548, 'street_count': 4}
Nodo: 1135712329, Data: {'y': 4.1462446, 'x': -73.6037837, 'street_count': 3}
Nodo: 1135712332, Data: {'y': 4.137247, 'x': -73.6426721, 'street_count': 4}
Nodo: 1135712334, Data: {'y': 4.1398506, 'x': -73.6158951, 'street_count': 4}
Nodo: 1135712346, Data: {'y': 4.1614825, 'x': -73.6459904, 'street_count': 4}
